entry,name,calling_convention,parameter_count,body_address_count
00423bb0,FUN_00423bb0,unknown,0,151
00423c50,FUN_00423c50,unknown,0,151
00423cf0,FUN_00423cf0,unknown,0,284
00423e10,FUN_00423e10,unknown,0,127
00423e90,FUN_00423e90,unknown,0,159
00423fc0,FUN_00423fc0,unknown,0,92
00424020,FUN_00424020,unknown,0,244
00424120,FUN_00424120,unknown,0,586
00424370,FUN_00424370,unknown,0,102
00424400,Road_Build,unknown,0,179
00424ec0,FUN_00424ec0,unknown,0,162
00424f70,Map_TileHasOwner,unknown,0,93
00424fd0,Map_AutoUpgradeVillages,unknown,0,277
004254e0,FUN_004254e0,unknown,0,71
00425540,FUN_00425540,unknown,0,780
00425850,FUN_00425850,unknown,0,286
00425970,FUN_00425970,unknown,0,133
00425a00,FUN_00425a00,unknown,0,2246
004262d0,FUN_004262d0,unknown,0,498
004264d0,FUN_004264d0,unknown,0,371
00426650,FUN_00426650,unknown,0,134
004266e0,FUN_004266e0,unknown,0,1842
00426e20,FUN_00426e20,unknown,0,197
00426ef0,FUN_00426ef0,unknown,0,133
00426f90,FUN_00426f90,unknown,0,23
00426fc0,FUN_00426fc0,unknown,0,722
004272a0,FUN_004272a0,unknown,0,3315
00427fa0,FUN_00427fa0,unknown,0,1067
004283d0,FUN_004283d0,unknown,0,44
00428400,FUN_00428400,unknown,0,990
004287e0,FUN_004287e0,unknown,0,103
00428850,FUN_00428850,unknown,0,47
00428880,FUN_00428880,unknown,0,3402
004295d0,FUN_004295d0,unknown,0,354
00429740,FUN_00429740,unknown,0,416
004298e0,FUN_004298e0,unknown,0,749
00429bd0,FUN_00429bd0,unknown,0,596
00429e30,FUN_00429e30,unknown,0,81
0042a340,BuildBuilding,unknown,0,825
0042a760,UI_DrawNoticeBoxSmall,unknown,0,290
0042a890,UI_DrawConfirmTop,unknown,0,128
0042a910,UI_DrawConfirmBottom,unknown,0,128
0042a990,UI_SetCurrentSelection,unknown,0,19
0042a9b0,UI_ConfirmSelectionApply,unknown,0,1
0042b3f0,FUN_0042b3f0,unknown,0,191
0042b4b0,Trap_New,unknown,0,458
0042b680,FUN_0042b680,unknown,0,22
0042b6a0,FUN_0042b6a0,unknown,0,133
0042b730,FUN_0042b730,unknown,0,62
0042b770,FUN_0042b770,unknown,0,604
0042b9d0,FUN_0042b9d0,unknown,0,948
0042bf00,FUN_0042bf00,unknown,0,340
0042c060,FUN_0042c060,unknown,0,134
0042c0f0,FUN_0042c0f0,unknown,0,59
0042c130,FUN_0042c130,unknown,0,75
0042c180,FUN_0042c180,unknown,0,75
0042c1d0,GodAnger,unknown,0,737
0042c4c0,FUN_0042c4c0,unknown,0,27
0042c4e0,FUN_0042c4e0,unknown,0,124
0042c560,FUN_0042c560,unknown,0,147
0042c600,FUN_0042c600,unknown,0,570
0042c840,FUN_0042c840,unknown,0,781
0042cb50,FUN_0042cb50,unknown,0,1784
0042d250,FUN_0042d250,unknown,0,57
0042d290,FUN_0042d290,unknown,0,46
0042d2c0,FUN_0042d2c0,unknown,0,212
0042d3a0,FUN_0042d3a0,unknown,0,305
0042d730,FUN_0042d730,unknown,0,886
0042dae0,FUN_0042dae0,unknown,0,979
0042dec0,FUN_0042dec0,unknown,0,665
0042e160,FUN_0042e160,unknown,0,599
0042e3c0,FUN_0042e3c0,unknown,0,470
0042e5a0,HandleBattleResults,unknown,0,326
0042e6f0,FUN_0042e6f0,unknown,0,124
0042e770,FUN_0042e770,unknown,0,66
0042e7c0,FUN_0042e7c0,unknown,0,146
0042e860,FUN_0042e860,unknown,0,71
0042e9e0,FUN_0042e9e0,unknown,0,3542
0042f7c0,FUN_0042f7c0,unknown,0,40
0042f7f0,FUN_0042f7f0,unknown,0,34
0042f820,FUN_0042f820,unknown,0,1037
0042fc30,FUN_0042fc30,unknown,0,891
0042ffb0,FUN_0042ffb0,unknown,0,2914
00430b20,FUN_00430b20,unknown,0,247
00430c20,FUN_00430c20,unknown,0,620
00430f80,FUN_00430f80,unknown,0,2490
00431940,FUN_00431940,unknown,0,884
00431cc0,FUN_00431cc0,unknown,0,243
00431de0,FUN_00431de0,unknown,0,188
00431fb0,FUN_00431fb0,unknown,0,220
00432770,FUN_00432770,unknown,0,50
004327b0,FUN_004327b0,unknown,0,351
00432910,FUN_00432910,unknown,0,38
00432940,FUN_00432940,unknown,0,1006
00432d30,FUN_00432d30,unknown,0,132
00432dc0,FUN_00432dc0,unknown,0,41
00432df0,FUN_00432df0,unknown,0,220
00432ed0,FUN_00432ed0,unknown,0,2032
004336c0,FUN_004336c0,unknown,0,279
004337e0,FUN_004337e0,unknown,0,64
00433820,FUN_00433820,unknown,0,149
00433bf0,FUN_00433bf0,unknown,0,37
00434e20,FUN_00434e20,unknown,0,630
00435280,FUN_00435280,unknown,0,635
00435500,UI_DrawActionBox,unknown,0,1
00435580,UI_GetGridIndexFromMouse,unknown,0,1
00435620,UI_HandleClickDispatch,unknown,0,1
00435ed0,FUN_00435ed0,unknown,0,272
00436610,FUN_00436610,unknown,0,12
00436620,FUN_00436620,unknown,0,716
00436970,FUN_00436970,unknown,0,184
00436a30,FUN_00436a30,unknown,0,180
00436af0,FUN_00436af0,unknown,0,40
00436b20,FUN_00436b20,unknown,0,240
00436c50,FUN_00436c50,unknown,0,182
00436d10,FUN_00436d10,unknown,0,609
00437050,FUN_00437050,unknown,0,87
004370b0,FUN_004370b0,unknown,0,1395
00437630,FUN_00437630,unknown,0,1117
00437a90,FUN_00437a90,unknown,0,2095
004382e0,FUN_004382e0,unknown,0,66
0043a880,FUN_0043a880,unknown,0,45
0043a8b0,FUN_0043a8b0,unknown,0,3724
0043b740,FUN_0043b740,unknown,0,1773
0043be50,FUN_0043be50,unknown,0,110
0043c1e0,FUN_0043c1e0,unknown,0,1220
0043c6b0,FUN_0043c6b0,unknown,0,1231
0043cb80,FUN_0043cb80,unknown,0,194
0043cc50,FUN_0043cc50,unknown,0,137
0043cd00,FUN_0043cd00,unknown,0,146
0043d100,unknown_libname_3,unknown,0,17
0043d120,FUN_0043d120,unknown,0,56
0043d180,FUN_0043d180,unknown,0,85
0043d1e0,FUN_0043d1e0,unknown,0,52
0043d220,FUN_0043d220,unknown,0,47
0043d250,FUN_0043d250,unknown,0,38
0043d2d0,FUN_0043d2d0,unknown,0,347
0043d430,FUN_0043d430,unknown,0,295
0043d560,FUN_0043d560,unknown,0,375
0043d6e0,FUN_0043d6e0,unknown,0,478
0043e0c0,FUN_0043e0c0,unknown,0,160
0043e160,FUN_0043e160,unknown,0,835
0043e4b0,Building_GetCapacity,unknown,0,80
0043e500,Building_UnitGetInto,unknown,0,612
0043e770,FUN_0043e770,unknown,0,168
0043e820,Building_HasAddonInGarrison,unknown,0,43
0043e850,Building_BuyAddon,unknown,0,239
0043e940,Building_RemoveAddon,unknown,0,89
0043e9a0,FUN_0043e9a0,unknown,0,110
0043ea10,FUN_0043ea10,unknown,0,26
0043ea30,FUN_0043ea30,unknown,0,144
0043eac0,FUN_0043eac0,unknown,0,9
0043ead0,FUN_0043ead0,unknown,0,101
0043eb40,FUN_0043eb40,unknown,0,9
0043eb50,Building_CountGarrison,unknown,0,39
0043eb80,Building_DrawGarrisonRow,unknown,0,62
0043ebc0,FUN_0043ebc0,unknown,0,72
0043ec10,FUN_0043ec10,unknown,0,40
0043ec40,FUN_0043ec40,unknown,0,215
0043ed20,Building_CanEquipAddon,unknown,0,148
0043edc0,Building_FindFirstValidAddonSlot,unknown,0,72
0043ee10,FUN_0043ee10,unknown,0,63
0043ee50,FUN_0043ee50,unknown,0,111
0043eed0,FUN_0043eed0,unknown,0,448
0043f0c0,FUN_0043f0c0,unknown,0,145
0043f160,FUN_0043f160,unknown,0,224
0043f240,FUN_0043f240,unknown,0,249
0043f340,AI_TickNationPostTurn,unknown,0,287
0043f460,AI_CalcFrontlineScore,unknown,0,147
0043f500,AI_ApplyFrontlineScore,unknown,0,243
0043f600,FUN_0043f600,unknown,0,34
0043f630,FUN_0043f630,unknown,0,589
0043f880,FUN_0043f880,unknown,0,156
0043f920,FUN_0043f920,unknown,0,86
0043f980,FUN_0043f980,unknown,0,44
0043f9b0,FUN_0043f9b0,unknown,0,69
0043fb10,FUN_0043fb10,unknown,0,100
0043fba0,Path_GenerateTrack,unknown,0,191
0043fc60,FUN_0043fc60,unknown,0,377
0043fde0,FUN_0043fde0,unknown,0,265
0043fef0,FUN_0043fef0,unknown,0,687
004401a0,Temple_Random,unknown,0,97
00440250,Temple_ProcessGift,unknown,0,44
00440600,Temple_UnitGetInto,unknown,0,1050
00440bb0,RenderHook_DemoText,unknown,0,766
00440f20,IO_FreeTempSurfaces,unknown,0,1
004410b0,UI_DemoTextPresent,unknown,0,661
00441350,BattleMapFileName,unknown,0,368
004414c0,FUN_004414c0,unknown,0,133
00441550,FUN_00441550,unknown,0,77
004415a0,FUN_004415a0,unknown,0,46
004415e0,FUN_004415e0,unknown,0,143
00441670,FUN_00441670,unknown,0,170
00441720,FUN_00441720,unknown,0,210
00441800,FUN_00441800,unknown,0,101
00441870,FUN_00441870,unknown,0,78
004418e0,FUN_004418e0,unknown,0,42
004418f0,FUN_004418f0,unknown,0,10
00441900,FUN_00441900,unknown,0,34
00441930,FUN_00441930,unknown,0,34
00441960,FUN_00441960,unknown,0,27
00441980,FUN_00441980,unknown,0,21
004419a0,FUN_004419a0,unknown,0,45
004419d0,FUN_004419d0,unknown,0,26
004419f0,FUN_004419f0,unknown,0,11
00441a00,FUN_00441a00,unknown,0,11
00441a10,FUN_00441a10,unknown,0,11
00441a20,FUN_00441a20,unknown,0,11
00441a30,FUN_00441a30,unknown,0,194
00441b00,FUN_00441b00,unknown,0,213
00441be0,FUN_00441be0,unknown,0,154
00441c80,FUN_00441c80,unknown,0,154
